Property code,Page,Must fix,Issues,Status,Last enforcement date,First enforcement date,Publisher contact,Request Review ,Fixed
ca-video-pub-1474238860523410,ch.pullbbang.com/movie/movieView.pull?code=15744131,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,digitalchosun.dizzo.com/site/data/html_dir/2019/11/29/2019112980105.html,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-pub-1474238860523410,eposting.co.kr/bbs/board.php?bo_table=blog_comedy&wr_id=3931,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-pub-1474238860523410,eposting.co.kr/bbs/board.php?bo_table=blog_comedy&wr_id=6165,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-05,,,
ca-pub-1474238860523410,eye.seoul.co.kr/,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,fun.pullbbang.com/fun/funView.pull?category2_code=1&code=16478908,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,fun.pullbbang.com/fun/funView.pull?code=16807282,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-06,,,
ca-video-pub-1474238860523410,fun.pullbbang.com/fun/funView.pull?code=16820382,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,fun.pullbbang.com/fun/funView.pull?code=16838871,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,fun.pullbbang.com/fun/funView.pull?code=16895103,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,fun.pullbbang.com/fun/jpostView.pull?category2_code=1&code=16677971,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,fun.pullbbang.com/fun/jpostView.pull?category2_code=1&code=16686818,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=cat&no=1194471,No,Shocking content,Restricted demand,2020-01-06,2020-01-05,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=creditcard&no=17769,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=cs&no=4115934,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-06,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=diet&no=12530,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=divination&no=7107624,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-06,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=lgbt&no=1162463,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=lgbt&no=272700,Yes,Sexually explicit content,Ad Serving Disabled,2020-01-07,2020-01-05,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=lgbt&no=493475,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=lgbt&no=791560,Yes,Sexually explicit content,Ad Serving Disabled,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=loan&no=2193636,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-03,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=loan&no=2343205,Yes,Dangerous or derogatory content,Ad Serving Disabled,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=loan&no=531215,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-03,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=loan&no=9518430,No,Gambling and games-related content,Restricted demand,2020-01-06,2020-01-06,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=loan&no=9570732,No,Gambling and games-related content,Restricted demand,2020-01-06,2020-01-06,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=lotto&no=1900367,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-04,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=lotto&no=2136357,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=lotto&no=4927841,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=lotto&no=8151833,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-06,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=loveconsultation&no=2907919,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-05,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=loveconsultation&no=3354407,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=loveconsultation&no=3822222,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=loveconsultation&no=6413833,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-04,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=loveconsultation&no=6464310,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=loveconsultation&no=6591069,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=loveconsultation&no=6601279,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-04,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=mystery&no=319164,No,Shocking content,Restricted demand,2020-01-07,2020-01-03,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=mystery&no=729824,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=mystery3j&no=404928,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-05,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=pridepc_new3&no=10514036,Yes,Dangerous or derogatory content,Ad Serving Disabled,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=pridepc_new3&no=10730017,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-05,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=sc&no=203253,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-03,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=tree&no=163987,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=laptop&no=1490,Yes,Dangerous or derogatory content,Ad Serving Disabled,2020-01-07,2020-01-05,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=nutrition&no=172961,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=solesmell&no=2979,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=solesmell&no=4058,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=solesmell&no=4195,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=solesmell&no=4547,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
